kx,ky,kz,g0,g1,p0,p1,Real,Imaginary
0,2,1,2500000.0,2500000.0,0.1,0,0.1457222,-0.000284
0,2,1,2500000.0,2500000.0,0.1,0.1,0.1337632,-9.09e-05
0,2,1,2500000.0,2500000.0,0.1,0.1,0.1344025,-0.0003044
0,2,2,0,0,0,0,0.480375,0.0001914
0,2,2,0,0,0,0,0.4801393,-8.05e-05
0,2,2,0,0,0,0.1,0.495637,0.000195
0,2,2,0,0,0,0.1,0.4344363,-9.05e-05
0,2,2,0,0,0.1,0,0.4345913,0.00015
0,2,2,0,0,0.1,0,0.49538,-6.4e-05
0,2,2,0,0,0.1,0.1,0.4480918,0.0001569
0,2,2,0,0,0.1,0.1,0.4479067,-7.37e-05
0,2,2,0,2500000.0,0,0,0.4857163,0.0006192
0,2,2,0,2500000.0,0,0,0.4323057,2.8e-06
0,2,2,0,2500000.0,0,0.1,0.500908,0.0006052
0,2,2,0,2500000.0,0,0.1,0.3911515,-1.23e-05
0,2,2,0,2500000.0,0.1,0,0.4391213,0.0005402
0,2,2,0,2500000.0,0.1,0,0.445112,6.6e-06
0,2,2,0,2500000.0,0.1,0.1,0.4525855,0.0005306
0,2,2,0,2500000.0,0.1,0.1,0.4024593,-7.4e-06
0,2,2,2500000.0,0,0,0,0.4324206,0.0002381
0,2,2,2500000.0,0,0,0,0.4853297,0.0002242
0,2,2,2500000.0,0,0,0.1,0.4452552,0.0002248
0,2,2,2500000.0,0,0,0.1,0.4388149,0.0001892
0,2,2,2500000.0,0,0.1,0,0.3912015,0.0001959
0,2,2,2500000.0,0,0.1,0,0.5005222,0.0002356
0,2,2,2500000.0,0,0.1,0.1,0.4025452,0.0001872
0,2,2,2500000.0,0,0.1,0.1,0.4522719,0.0002008
0,2,2,2500000.0,2500000.0,0,0,0.4381498,0.0005914
0,2,2,2500000.0,2500000.0,0,0,0.4378894,0.0002695
0,2,2,2500000.0,2500000.0,0,0.1,0.4508063,0.0005672
0,2,2,2500000.0,2500000.0,0,0.1,0.3958967,0.0002328
